Neighbor info at step 0: radial(max=93,actual=71), angular(max=13,actual=8).
Neighbor info at step 1000: radial(max=93,actual=70), angular(max=13,actual=6).
Neighbor info at step 2000: radial(max=93,actual=71), angular(max=13,actual=6).
Neighbor info at step 3000: radial(max=93,actual=69), angular(max=13,actual=6).
Neighbor info at step 4000: radial(max=93,actual=72), angular(max=13,actual=6).
Neighbor info at step 5000: radial(max=93,actual=69), angular(max=13,actual=6).
Neighbor info at step 6000: radial(max=93,actual=69), angular(max=13,actual=6).
Neighbor info at step 7000: radial(max=93,actual=69), angular(max=13,actual=6).
Neighbor info at step 8000: radial(max=93,actual=71), angular(max=13,actual=7).
Neighbor info at step 9000: radial(max=93,actual=70), angular(max=13,actual=6).
Neighbor info at step 10000: radial(max=93,actual=69), angular(max=13,actual=6).
